Subject (Species),Sex,Age,Lifestyle,Orientation (P-D or M-L),Fingertip,Palm of hand/manus,Forearm,Upper arm,Tongue,Tip of nose,Back of Neck,Fingertip,Palm ,Forarm ,Lips,L Hand in ice cold water,L Hand removed from ice cold water,L Hand dipped into water at ambient temperature,R Hand in warm water,R Hand removed from warm water,R Hand dipped into water at ambient temperature,Initial Sensation,Time (min) for change in sensation,Final sensation 
,Female,23,"Sedentary lifestyle, spends most of the time in front of her laptop or smartphone (average of 12 hrs/day), doesn't wear any reading glasses, loves to listen to music through earphones with volume up to fully focus, prefers salty and flavorful foods over sweets",M-L,3,14,16.9,21,lips (4),6,19,0,16,29,4,after 34 seconds my hand felt numb and I can't feel any other sensation except pain. I wasn't able to complete the 2 mins duration because of too much pain,"felt like my hand was still submerged in the ice bath,although my hands can now move I still feel the heat in my entire hands that last for a minute or two","I can still feel like my hand was soaked in the ice bath, it's still a little bit painful, and the heat felt from the ice was there although its slowly fading as the time goes by",the heat was manageable and my hands were numbed after 2 mins,"immediately after removing my hands from the warm water,  I felt relieved from the heat experienced and the uncomfortable pain from the hot water was no longer there",felt normal,Elbow,38.4 seconds,Hand
,Female,47,"works whole morning and afternoon, sedentary lifestyle in the evening",M-L,18,24,34,54,lips (13),17,30,3,11,21,11,"very numb, painful, and hand cannot be moved normally","still numb, hand cannot be moved normally","still numbing, slower to reach ambient temperature","hot, but eventually became less painful (due to intense pain experienced on the left hand)",little to no pain,"no pain, faster ""cooldown"" or returning to ambient temperature",Elbow,1 minute and 15 seconds,Hand (and more sensation felt on the fingertips)
,Male,15,Sedentary lifestyle,M-L,3,5,7,9,4,10,15,3,9,14,5,Stinging at first and numbed eventually.,My hand remained numb,My hand became less numb and the water felt hotter,My hand felt a slight change in temperature and went numb after a while,My hand started to feel cool.,The water felt colder ,Elbow,1 minute and 40 seconds,Forearm
,Male,29,Semi active; exercises during weekends,M-L,17.2,17,19,33,11,13,20,5,9,7,8,cold and painful then numb,the same sensation was felt when hand was in ice cold water,slowly feeling my hand again,it was warm but was not too hot to feel pain from it,my hand was still warm but eventually started to feel normal,no pain and the water was cooler,Elbow,1 min and 21 sec,forearm
,Female,13,Active; Always dancing,P-D,4,21,36,58,5,18,39,10,15,37,6,"painful stinging sensation and numbing","cold, somewhat red, and numb",hand feels warmer and numbing slowly disappeared,hand felt hot and warmer,the warmth from dipping my right hand into the warm water slowly decreased and there was little to no pain felt,hand felt cooler than when it was in warm water,Elbow,1 min. and 13 sec.,Arm to hand
,Female,16,Active; Exercises everyday,P-D,10,24,41,61,5,29,65,0,15,10,0,numb and painful; a stinging sensation was felt,still cold but not as cold as when it was in the ice bath; hand still numb and painful,the pain and the tingling sensation felt slowly disappeared; hands started to feel less numb,heat from the water was not felt as quick as the cold in the left hand; heat was manageable and did not make the hand feel numb,"little to no pain was felt, almost as if the hand was not submerged in the hot water",right hand became slightly cold due to the presence of the cold left hand; no pain was felt,elbow,"1min, 8 secs",Hand
,male,25,active; Works out 5 times a week. ,P-D,3,15,20,10,4,13,26,0,10,15,0,sharp sensation ang progresses to a numb feeling,cold and numb ,the numbness slowly diapeared ,no discomfort felt unlike the left hand dipped in ice water,no difference felt in terms of pain and discomfort,no pain was felt. a slight coolness on the fingers was felt,elbow,1 min 15 secs,hand/fingertips
,Female,10,Active child. Uses electronic gadgets and answering modules for school daily. Exercises during the afternoon 2-3 times a week,M-L,5,7,21,13,6,7,17,4,6,8,3,painful and numb,numbing is seriously experienced,numbing subsides a bit but pain is prevalent,"painfully hot with stinging sensation, not as painful as the cold hand","pain is not prevalent, little to no sting experienced","hand sensation goes back to normal, pain not observed",elbow,1 min and 26 seconds,forearm to hand
,Male,19,Non-active lifestyle; Always on the phone/laptop ,M-L,20,24,35,40,20,20,60,10,10,30,2,cold and very very painful,persistently painful,less painful,"endurable pain, not as painful as the left cold hand",little to no pain,no pain,elbow,41 seconds,forearm and fingers
,Female,17,Non-active ,M-L,9,21,27,16,8,10,44,5,17,36,0,Initially painful but gradually became numb,No sensation from the fingertips,Slowly becoming less painful and slowly losing numbness,The heat was not felt immediately as in the cold water and it was less painful,No pain,Normal feeling returns to the hand,Elbow,1 min and 6 seconds,Forearm and tip of fingers
